gene_symbol,dataset,n_control,n_sepsis,mean_control,mean_sepsis,median_control,median_sepsis,dataset_logFC,dataset_direction,auc,wilcox_p,heldout_dataset
TDRD9,GSE137340,14,43,4.93534616642857,6.7997167887093,4.36161464675,6.3466674295,1.86437062228073,Up_in_Sepsis,0.87375415282392,7.34598051394299e-06,GSE95233
TDRD9,GSE236713,30,125,-3.39393928333333,0.728508634968,-3.5223222,0.61764884,4.12244791830133,Up_in_Sepsis,0.991466666666667,7.12851805331957e-17,GSE95233
TDRD9,GSE54514,18,35,8.22346499241667,8.5398926803,8.05224168325,8.5265431405,0.316427687883333,Up_in_Sepsis,0.619047619047619,0.163232997664367,GSE95233
TDRD9,GSE57065,25,28,3.3303612,6.89073321428572,3.19424,7.142525,3.56037201428571,Up_in_Sepsis,0.99,9.95645531096197e-14,GSE95233
TDRD9,GSE65682,42,51,3.34773631371429,5.63320040717647,3.2782247165,5.797888853,2.28546409346219,Up_in_Sepsis,0.927637721755369,1.57574257046212e-12,GSE95233
VNN1,GSE137340,14,43,5.84198521592857,8.33127632462791,5.2407587655,8.28171284,2.48929110869934,Up_in_Sepsis,0.833887043189369,8.99233343862789e-05,GSE95233
VNN1,GSE236713,30,125,-2.51087958666667,0.174100949376,-2.3667963,0.22361732,2.68498053604267,Up_in_Sepsis,0.966933333333334,2.22338235075182e-15,GSE95233
VNN1,GSE54514,18,35,8.22397820144444,8.80589087351429,8.2312779425,8.825949669,0.581912672069842,Up_in_Sepsis,0.73015873015873,0.0066488422773127,GSE95233
VNN1,GSE57065,25,28,5.4584908,9.17175178571429,5.309355,9.329995,3.71326098571429,Up_in_Sepsis,0.995714285714286,1.54878193726075e-14,GSE95233
VNN1,GSE65682,42,51,5.20893270661429,6.76910780665098,5.2367840215,6.7483131382,1.56017510003669,Up_in_Sepsis,0.878618113912232,3.9231473659526e-10,GSE95233
CD177,GSE137340,14,43,4.84320548114286,6.19967237805233,4.274549700375,5.93976807,1.35646689690947,Up_in_Sepsis,0.867109634551495,1.15818527714491e-05,GSE95233
CD177,GSE236713,30,125,-4.59570063022222,0.997677143048,-4.8352926,1.18436154666667,5.59337777327022,Up_in_Sepsis,0.978933333333333,4.22217230068948e-16,GSE95233
CD177,GSE54514,18,35,8.04642282583333,8.34422796814286,7.585268259,7.933347225,0.297805142309523,Up_in_Sepsis,0.546031746031746,0.595788354333167,GSE95233
CD177,GSE57065,25,28,5.1301448,11.2849585714286,5.00765,11.48255,6.15481377142857,Up_in_Sepsis,0.998571428571429,4.42509124931643e-15,GSE95233
CD177,GSE65682,42,51,6.95467321429762,9.29277487376471,7.043244875,9.5986285285,2.33810165946709,Up_in_Sepsis,0.872082166199814,7.79851587115787e-10,GSE95233
RETN,GSE137340,14,43,5.20533511935714,7.98698026388372,4.6106590085,8.017298027,2.78164514452658,Up_in_Sepsis,0.853820598006645,2.74394577444583e-05,GSE95233
RETN,GSE236713,30,125,-3.35105348333333,0.713783831712,-3.412232375,0.611680735,4.06483731504533,Up_in_Sepsis,0.9864,1.47108884225019e-16,GSE95233
RETN,GSE54514,18,35,9.55170414166667,9.70309085842857,9.6156725885,9.064110756,0.151386716761905,Up_in_Sepsis,0.53015873015873,0.730730102071719,GSE95233
